"subject","trial","SCR_delta","SCL_delta","RR_delta","IBI_delta","RSA_delta","MAP_delta","LVET_delta","CO_delta","PEP_delta","TPR_delta"
"sub-256",3,"-1.5148944",NA," 0.505964135"," 1.18128757","-0.10719453","-0.61090652","-0.13525348","-0.55201549"," 1.705180129"," 0.251990424"
"sub-256",4,"-0.09602452",NA," 0.15360079"," 1.1286309"," 1.26367597"," 0.62599843"," 0.30384560","-0.55161085"," 0.82967229"," 0.59493536"
"sub-257",1,"-0.80545944",NA,"-0.6372317104","-0.68002971","-0.57174535","-0.97496724","-0.37417504","-1.113337674"," 2.483409321"," 0.35433033"
"sub-257",2,"-0.80545944",NA,"-1.00370641","-0.660425595","-0.405894474","-0.01053395"," 0.21990019","-0.61640258"," 1.413344182"," 0.33925989"
"sub-257",3,"-0.8054594",NA,"-0.546870666","-0.37761961","-0.81491383","-0.69133935"," 0.09075340","-0.58784711"," 0.732393638"," 0.089633604"
"sub-257",4,"-0.80545944",NA,"-0.90395961"," 0.4878782"," 0.62560447","-0.36727095"," 0.24572955","-0.43765886"," 0.82967229"," 0.10042158"
"sub-258",1," 2.34758464","-0.27080693"," 2.2701676592"," 0.11422046","-1.99589043"," 0.31496634","-0.77453008","-1.103943694"," 0.197361069"," 0.61514142"
"sub-258",2," 1.71697582"," 0.36440530"," 0.81778492","-0.008449131","-1.017390622"," 0.28201061","-0.92950623","-0.88204502"," 0.489197016"," 0.55399457"
"sub-258",3,"-1.1207639"," 0.988079840"," 2.069826148"," 0.32332340","-1.65462603","-0.02050767","-0.59372458","-0.90124847","-0.191753527"," 0.502812464"
"sub-258",4," 0.45575819"," 1.03459222"," 3.11400317"," 0.7684957","-2.20829149","-0.05448894","-0.30960164","-1.22048597"," 0.19736107"," 0.56747416"
"sub-262",1,"-0.88428555","-3.08817617"," 0.1714762829"," 0.33615175"," 0.63058926"," 0.56659392","-4.61664703","-1.564946614"," 0.902631274"," 5.30528439"
"sub-262",2," 1.00754090"," 0.85971039","-0.74910320"," 0.351473991"," 0.989994299"," 0.05612795","-0.79390210","-0.76984940","-0.556548461"," 0.58922172"
